Year,Month,Borough,Category,Requests
2009,Jun,Mercier–Hochelaga-Maisonneuve,Other,90
2009,Jun,Mercier–Hochelaga-Maisonneuve,Parking,132
2009,Jun,Mercier–Hochelaga-Maisonneuve,Parks,91
2009,Jun,Mercier–Hochelaga-Maisonneuve,Permits,83
2009,Jun,Mercier–Hochelaga-Maisonneuve,Roads,320
2009,Jun,Mercier–Hochelaga-Maisonneuve,Security,24
2009,Jun,Mercier–Hochelaga-Maisonneuve,Selective Collection,79
2009,Jun,Mercier–Hochelaga-Maisonneuve,Sewers,131
2009,Jun,Mercier–Hochelaga-Maisonneuve,Signage,124
2009,Jun,Mercier–Hochelaga-Maisonneuve,Taxes,29
2009,Jun,Mercier–Hochelaga-Maisonneuve,Trees,324
2009,Jun,Mercier–Hochelaga-Maisonneuve,Water,145
2009,Jun,Montréal-Nord,Dogs,78
2009,Jun,Montréal-Nord,Environment,40
2009,Jun,Montréal-Nord,Garbage Collection,41
2009,Jun,Montréal-Nord,Lighting,40
2009,Jun,Montréal-Nord,Other,102
2009,Jun,Montréal-Nord,Parking,5
2009,Jun,Montréal-Nord,Parks,188
2009,Jun,Montréal-Nord,Permits,26
2009,Jun,Montréal-Nord,Roads,125
2009,Jun,Montréal-Nord,Selective Collection,21
2009,Jun,Montréal-Nord,Sewers,23
2009,Jun,Montréal-Nord,Signage,38
2009,Jun,Montréal-Nord,Taxes,5
2009,Jun,Montréal-Nord,Trees,86
2009,Jun,Montréal-Nord,Water,66
2009,Jun,Outremont,Bulky Collection,2
2009,Jun,Outremont,Environment,10
2009,Jun,Outremont,Garbage Collection,7
2009,Jun,Outremont,Lighting,3
2009,Jun,Outremont,Other,18
2009,Jun,Outremont,Parking,1
2009,Jun,Outremont,Parks,6
2009,Jun,Outremont,Permits,3
2009,Jun,Outremont,Roads,23
2009,Jun,Outremont,Security,3
2009,Jun,Outremont,Selective Collection,1
2009,Jun,Outremont,Sewers,12
2009,Jun,Outremont,Signage,5
2009,Jun,Outremont,Taxes,2
2009,Jun,Outremont,Trees,15
2009,Jun,Outremont,Water,24
2009,Jun,Pierrefonds-Roxboro,Bulky Collection,2
2009,Jun,Pierrefonds-Roxboro,Dogs,11
2009,Jun,Pierrefonds-Roxboro,Environment,115
2009,Jun,Pierrefonds-Roxboro,Garbage Collection,82
2009,Jun,Pierrefonds-Roxboro,Lighting,17
2009,Jun,Pierrefonds-Roxboro,Other,24
2009,Jun,Pierrefonds-Roxboro,Parks,6
2009,Jun,Pierrefonds-Roxboro,Permits,7
2009,Jun,Pierrefonds-Roxboro,Roads,51
2009,Jun,Pierrefonds-Roxboro,Security,43
2009,Jun,Pierrefonds-Roxboro,Selective Collection,67
2009,Jun,Pierrefonds-Roxboro,Sewers,11
2009,Jun,Pierrefonds-Roxboro,Signage,10
2009,Jun,Pierrefonds-Roxboro,Taxes,5
2009,Jun,Pierrefonds-Roxboro,Trees,31
2009,Jun,Pierrefonds-Roxboro,Water,88
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Bulky Collection,781
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Dogs,89
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Environment,65
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Garbage Collection,120
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Lighting,61
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Other,73
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Parking,15
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Parks,38
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Permits,45
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Roads,154
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Security,3
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Selective Collection,492
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Sewers,79
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Signage,71
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Snow,1
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Taxes,19
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Trees,197
2009,Jun,Rivière-des-Prairies–Pointe-aux-Trembles,Water,138
2009,Jun,Rosemont–La Petite-Patrie,Bulky Collection,60
2009,Jun,Rosemont–La Petite-Patrie,Dogs,44
2009,Jun,Rosemont–La Petite-Patrie,Environment,113
2009,Jun,Rosemont–La Petite-Patrie,Garbage Collection,283
2009,Jun,Rosemont–La Petite-Patrie,Lighting,105
2009,Jun,Rosemont–La Petite-Patrie,Other,68
2009,Jun,Rosemont–La Petite-Patrie,Parking,175
2009,Jun,Rosemont–La Petite-Patrie,Parks,51
2009,Jun,Rosemont–La Petite-Patrie,Permits,67
2009,Jun,Rosemont–La Petite-Patrie,Roads,279
